"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.7906361916","16585.1955307263","17926.5728361165","19081.351656125","19356.2033894901","20620.7006259175","20670.6556635493","20434.2994364477","20834.5101990131","22567.8249248908","23302.8319880055","24014.9442670501","25921.026051998","27546.8993898034","24631.4348604167","24271.9404205267","25324.7203624669","","","","","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7773265083934","59.8781528089471","58.4928738323479","78.7827580362892","82.2084438594401","101.290471274167","137.899361896954","161.322000088481","129.506653844251","129.798541408375","157.187422389233","160.372835554154","136.117014381199","144.110318929266","174.94203831954","187.975604013726","199.026172729051","226.005343759305","249.287386261794","277.900741665078","274.880858701521","266.493041808705","","","","","","","","","","","","","","","","","","","","117.409690794955","187.845094955388","198.728543552291","219.141352785465","250.29412990949","272.563077018147","369.835795969823","373.361116300036","445.893297923744","553.300289383064","603.53702306241","669.009050888028","638.61254321276","629.345250343771","569.577922915754","561.778746269502","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","630.074984961849","612.074840384629","595.857754388612","580.555024871497","847.76672420739","823.792184336632","965.361296350428","438.320519601465","393.784520850398","293.278222405082","353.18204509917","512.620965887672","506.884952193443","415.693345857987","385.768853472854","555.296941863334","526.168742996854","711.181715953492","779.468305598703","1041.08684392862","1443.99192856374","2062.41514942577","2878.83714393079","3868.57888289748","3347.84485033644","3529.05348173757","4299.01288877922","4598.24998765441","4804.61688354724","4709.31202367384","3695.79374814656","3308.70023298492","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","662.520052309054","662.914792567128","719.157295703914","699.384292086697","676.566732520011","723.409610237851","639.463899289892","348.711317786982","218.492165902633","380.527371084275","619.065163447139","760.559375774093","1046.35851070754","749.584649014639","865.302161769888","1098.42546340677","1175.78898079471","1326.97033929809","1453.64277657175","1890.68155733514","2416.58823505194","2709.14293061386","3005.01290331851","3603.01368536638","4370.53964653148","4114.13654490945","4094.35883191918","4437.17806843608","4247.61430826246","4413.08169670601","4578.66672753259","3934.89539413158","4124.98239042866","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21936.5301014708","22228.8464928922","24741.4935704562","32776.4422698769","38503.4796144857","41282.0201219785","43748.7721588999","48582.8084550866","47785.6590856793","43339.3798746543","39736.3540626699","41098.7669417228","38391.0808669785","40619.7112977795","42294.9947269717","36038.2676044596","36988.6220301891","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","222.688851118821","238.909677072309","256.420887291094","289.545005993587","335.083670169026","414.097398681835","769.190157215038","826.003250352323","996.654547278431","1114.40034839758","1182.82729406718","1550.23598341465","2041.03141797068","2037.93523203399","1837.65992068596","1670.07037485168","1641.3812215465","1572.05082628029","1451.72375305673","1525.70405635939","1458.43330230142","1486.82597568435","1988.45873977156","1905.20915545181","2004.63397954487","1974.89059002878","1970.31573493549","2053.72142082472","2216.77512376145","2300.58684703676","2172.84800548214","2316.45929252945","2589.64845011183","2495.36631204247","2462.79144162461","2721.62805699583","3117.66080601244","3745.79092991719","4336.71858341177","4937.5982177301","6115.51778057895","5158.20851706515","5917.57430778759","6855.52728664347","7343.12131796659","7439.37940081515","7452.04048407423","6435.52550875833","6162.34727236922","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26556.080029911","29698.1692220993","33245.8360986374","27897.3270935772","32798.4782338538","41825.995457574","44012.333067279","39193.7409726279","34159.0373526707","31709.2543340905","29189.1677892304","23056.1045271808","23312.9295261613","21907.5979773605","23612.7451969684","27256.2909428352","26168.2666231036","25993.558007767","25199.3495771446","25467.1922190635","26847.080053195","28615.5821410126","29199.524610859","26663.3087045186","28260.0050167828","33071.2686869422","31061.5293454235","31311.3593562152","33230.5231807291","36161.1706068291","39439.8019679284","42372.2216623658","42672.6132294857","45758.9055356627","33072.5751663719","35049.1483168035","40462.3120889984","42112.2356474253","43350.6426809366","44449.7403485595","39101.7468895974","37622.2074564244","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1148.57995706663","845.077184202247","1166.31739957616","1272.01049600796","1266.34498858151","1057.7556614712","1136.51783223167","1324.08293470701","1317.48775502669","1366.35472649443","1401.48779454318","2083.97221812887","2824.65091518844","2011.68904032488","1932.590782074","2112.50117336788","2129.31379311298","2501.48075287736","2738.28472318497","2756.39698132362","2907.75762701156","3530.13178314168","2643.36939813156","2909.51661013406","3595.08589823166","3546.71882015564","3969.32741166282","2375.33910272555","4318.77469950773","5715.50439657303","6798.02676272931","6940.35035806909","7449.48038977242","7373.42824568235","7683.57406483774","8172.66432306173","8248.76198864344","7736.36962254054","7669.27391554066","7170.69467365192","2579.19316821209","3330.43700583548","4251.57434819873","5076.8838291729","5878.76102735208","7193.61763973522","8953.35927526277","8161.30696648652","10276.2604977053","12726.9083594731","12969.7071238969","12976.6364245411","12245.2564487696","13467.1023570022","12440.3209818055","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.85574116163","590.122225741606","369.633368128684","357.204339871367","400.516091886143","456.375899754645","504.059514041494","523.283569096003","609.173025391007","597.433481734807","622.742747687983","694.430511932268","783.261609869997","930.166156701539","1191.96191990706","1643.75854298145","2158.00290895457","3138.80870341248","4010.02699722693","2993.83253109033","3218.38165488465","3526.97814267659","3684.80481032649","3843.5912130934","3994.71235479566","3617.93574555176","3614.68835699811","",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8751.76652874972","8914.52543261668","8639.30885529158","8508.40691498359","8456.94799658994","8980.53641434813","9871.99719445906","12058.26382343","10352.8227618312","10375.9942154736","11660.329531052","11589.8530023324","11598.7517362051","11865.9632317194","11834.7452292307","",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1063.42011308049","1198.50708271962","1483.51597980311","1789.58956778188","2023.39994991844","2268.78997758801","2542.5272702175","2946.2403938049","3452.52251190745","4220.96162054598","4969.78188299583","5944.67089296938","6585.84024161042","6889.00494893358","7156.8534228733","7296.551772665","7652.102973745","8218.5974789469","7841.46403429469","8379.57673916578","8755.15649945473","9115.23453172274","9363.1866398544","9932.02968138506","9414.16059122009","9443.06359056527","9801.96693468697","10419.3111321775","11452.7387771176","12812.7644376195","14350.918887831","14797.3684231605","13082.2816597386","12174.6978594572","11931.2041070835","12517.5579290917","12194.6087607071","12946.9869363675","13659.1479142644","14462.1762794658","",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1809.31145170851","1876.01411997625","1853.61424751779","1965.99147715795","2130.1744597839","2279.82031923936","2342.168925132","2578.27780211969","2721.94778767531","2989.415343585","3302.52957324747","3492.5493708481","3946.53598489013","4766.97988813656","6478.64251265606","6998.23986880711","7480.52152626605","7769.5966799373","8246.31784555217","9287.15862536434","10201.978299827","11844.6325389079","12778.662566817","11528.1681004488","12448.7837250425","11452.6568883783","11379.5233690545","11643.9471829433","14283.3844458253","17838.3631204428","18249.2884923718","18865.3435224098","18616.320805516","17681.1468732669","18102.3175565572","20384.6692890518","21944.1550635542","23551.2221690706","21365.9814072816","20561.4767826095","21690.9209985418","19517.8416767171","20081.817625797","23465.3855857164","30472.3797728289","34016.7148304822","36118.2838130869","40991.9828858155","49664.6850434485","42742.9989811703","51874.0804819957","62245.100292102","67635.3155532647","67708.6892863784","62099.6144131172","56408.3404284049","49755.315480305","",
